서울특별시,80 - 84세,87286,27885,59401,46.90
서울특별시,85세이상,55910,14800,41110,36.00
서울특별시,15세미만,1355303,700153,655150,106.90
서울특별시,15 - 64세,7347223,3623057,3724166,97.30
서울특별시,65세이상,928956,402818,526138,76.60
서울특별시,평균연령,37.9,37.0,38.8,-
서울특별시,연령중위수,37.3,36.5,38.2,-
부산광역시,계,3393191,1664678,1728513,96.30
부산광역시,0 - 4세,124410,63964,60446,105.80
부산광역시,5 - 9세,139125,72380,66745,108.40
부산광역시,10 - 14세,199016,105266,93750,112.30
부산광역시,15 - 19세,242414,130771,111643,117.10
부산광역시,20 - 24세,227742,121532,106210,114.40
부산광역시,25 - 29세,247229,124810,122419,102.00
부산광역시,30 - 34세,239936,120088,119848,100.20
부산광역시,35 - 39세,256860,127090,129770,97.90
부산광역시,40 - 44세,271955,131701,140254,93.90
부산광역시,45 - 49세,293334,139961,153373,91.30
부산광역시,50 - 54세,312412,148927,163485,91.10
부산광역시,55 - 59세,248722,120219,128503,93.60
부산광역시,60 - 64세,192906,93348,99558,93.80
부산광역시,65 - 69세,149213,70620,78593,89.90
부산광역시,70 - 74세,115192,50461,64731,78.00
부산광역시,75 - 79세,72906,27472,45434,60.50
부산광역시,80 - 84세,38632,11168,27464,40.70
부산광역시,85세이상,21187,4900,16287,30.10
부산광역시,15세미만,462551,241610,220941,109.40
부산광역시,15 - 64세,2533510,1258447,1275063,98.70
부산광역시,65세이상,397130,164621,232509,70.80
부산광역시,평균연령,39.7,38.3,41.0,-
부산광역시,연령중위수,40.3,38.7,41.8,-
대구광역시,계,2431774,1204428,1227346,98.10
대구광역시,0 - 4세,101667,52769,48898,107.90
대구광역시,5 - 9세,118717,62518,56199,111.20
대구광역시,10 - 14세,167820,89432,78388,114.10
대구광역시,15 - 19세,185952,101944,84008,121.40
대구광역시,20 - 24세,162748,90988,71760,126.80
대구광역시,25 - 29세,169158,84504,84654,99.80
대구광역시,30 - 34세,174275,85967,88308,97.30
대구광역시,35 - 39세,201620,97863,103757,94.30
대구광역시,40 - 44세,217539,105723,111816,94.60
대구광역시,45 - 49세,219070,107258,111812,95.90
대구광역시,50 - 54세,200207,98394,101813,96.60
대구광역시,55 - 59세,148331,71571,76760,93.20
대구광역시,60 - 64세,113154,54023,59131,91.40
대구광역시,65 - 69세,89508,40516,48992,82.70
대구광역시,70 - 74세,74175,31426,42749,73.50
대구광역시,75 - 79세,48893,18491,30402,60.80
대구광역시,80 - 84세,24970,7598,17372,43.70
대구광역시,85세이상,13970,3443,10527,32.70
대구광역시,15세미만,388204,204719,183485,111.60
